,title,rating,rating_count,length,level,genre_1,genre_2,genre_3,start_year,episodes,top_ep,sec_ep,thd_ep,popularity,awards_1,awards_2,x0_,x0_TV-14,x0_TV-G,x0_TV-MA,x0_TV-PG,x0_TV-Y,x0_TV-Y7,x0_TV-Y7-FV,x1_Action,x1_Adventure,x1_Animation,x1_Biography,x1_Comedy,x1_Crime,x1_Drama,x2_Action,x2_Adventure,x2_Comedy,x2_Crime,x2_Drama,x2_Family,x2_Fantasy,x2_Horror,x2_Mystery,x2_N/A,x2_Romance,x2_Short,x2_Sport,x3_Action,x3_Adventure,x3_Comedy,x3_Crime,x3_Drama,x3_Family,x3_Fantasy,x3_Horror,x3_Music,x3_Mystery,x3_N/A,x3_Romance,x3_Sci-Fi,x3_Thriller,score,isGood,quick,short,medium,long,series,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Romance,Short,Sport,Music,Sci-Fi,Thriller
0,13 Reasons Why,7.6,258165,60,TV-MA,Drama,Mystery,Thriller,2017,49,9.2,9.1,9.0,328,Nominated for 1 Golden Globe.,Another 4 wins & 15 nominations.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,A.N.T. Farm,5.0,6100,30,TV-G,Comedy,Drama,Family,2011,62,8.1,7.9,7.9,3035,,7 wins & 12 nominations.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
2,Arrested Development,8.7,278210,22,TV-14,Comedy,,,2003,84,9.2,9.1,9.1,190,Won 1 Golden Globe.,Another 59 wins & 120 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Atypical,8.3,61531,30,TV-MA,Comedy,Drama,,2017,38,9.2,9.0,8.9,436,,1 win & 5 nominations.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,Austin & Ally,6.0,9563,30,TV-G,Comedy,Drama,Family,2011,87,9.5,9.4,9.1,1795,,10 wins & 14 nominations.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
5,Avatar: The Last Airbender,9.2,251915,23,TV-Y7-FV,Animation,Action,Adventure,2005,62,9.9,9.8,9.7,257,Won 1 Primetime Emmy.,Another 8 wins & 6 nominations.,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Big Mouth,8.0,58246,30,TV-MA,Animation,Comedy,Romance,2017,43,8.5,8.5,8.3,372,Won 1 Primetime Emmy.,Another 2 wins & 32 nominations.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7,Black-ish,7.1,19977,22,TV-PG,Comedy,,,2014,163,8.0,7.8,7.8,486,Won 1 Golden Globe.,Another 61 wins & 186 nominations.,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Blue Mountain State,8.3,48991,22,TV-MA,Comedy,Sport,,2010,39,9.2,8.8,8.8,1196,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,87,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9,Bones,7.8,140683,40,TV-14,Comedy,Crime,Drama,2005,245,9.3,9.2,9.0,85,Nominated for 2 Primetime Emmys.,Another 8 wins & 40 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
10,Brooklyn Nine-Nine,8.4,230913,22,TV-14,Comedy,Crime,,2013,153,9.5,9.5,9.3,54,Won 2 Golden Globes.,Another 12 wins & 110 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,Burn Notice,7.9,68404,44,TV-PG,Action,Crime,Drama,2007,111,9.2,9.1,9.0,379,Nominated for 4 Primetime Emmys.,Another 6 wins & 13 nominations.,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12,Criminal Minds,8.1,163397,42,TV-14,Crime,Drama,Mystery,2005,323,9.2,9.0,9.0,15,Nominated for 3 Primetime Emmys.,Another 23 wins & 32 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,67,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
13,Designated Survivor,7.5,78476,60,TV-14,Action,Drama,Mystery,2016,53,8.7,8.4,8.3,221,,3 wins & 3 nominations.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,61,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
14,Everybody Hates Chris,7.4,34408,22,TV-PG,Comedy,Drama,Music,2005,88,8.4,8.3,8.2,1263,Nominated for 1 Golden Globe.,Another 7 wins & 50 nominations.,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
15,Fresh Off the Boat,7.8,22518,22,TV-PG,Comedy,,,2015,116,8.2,8.1,8.1,662,,6 wins & 27 nominations.,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,81,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Friends,8.9,836860,22,TV-PG,Comedy,Romance,,1994,235,9.7,9.7,9.5,48,Won 1 Golden Globe.,Another 76 wins & 220 nominations.,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
17,Futurama,8.4,214017,22,TV-14,Animation,Comedy,Sci-Fi,1999,140,9.6,9.5,9.4,319,Won 6 Primetime Emmys.,Another 24 wins & 57 nominations.,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,Game of Thrones,9.3,1786490,57,TV-MA,Action,Adventure,Drama,2011,73,9.9,9.9,9.9,9,Won 1 Golden Globe.,Another 376 wins & 613 nominations.,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,94,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,Good Luck Charlie,7.0,18916,22,TV-G,Comedy,Drama,Family,2010,98,8.4,8.4,8.3,1376,Nominated for 3 Primetime Emmys.,Another 4 wins & 20 nominations.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
20,Grey's Anatomy,7.6,254151,41,TV-14,Drama,Romance,,2005,374,9.7,9.7,9.6,7,Won 2 Golden Globes.,Another 78 wins & 232 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21,H2O: Just Add Water,7.2,12704,25,TV-PG,Drama,Family,Fantasy,2006,78,9.0,8.9,8.9,918,,2 wins & 6 nominations.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
22,Haikyuu!!,8.7,11948,24,TV-14,Animation,Comedy,Drama,2014,88,9.8,9.8,9.8,607,,1 win & 3 nominations.,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,88,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23,Hannah Montana,5.1,37173,25,TV-G,Comedy,Family,Music,2006,100,8.2,8.0,7.6,920,Nominated for 4 Primetime Emmys.,Another 20 wins & 24 nominations.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
24,House of Cards,8.7,469039,51,TV-MA,Drama,,,2013,73,9.6,9.5,9.5,238,Won 2 Golden Globes.,Another 32 wins & 215 nominations.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,How I Met Your Mother,8.3,607489,22,TV-14,Comedy,Romance,,2005,208,9.5,9.5,9.4,83,Nominated for 2 Golden Globes.,Another 26 wins & 93 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
26,Hunter x Hunter,8.9,60205,24,TV-14,Animation,Action,Adventure,2011,148,9.9,9.8,9.8,318,,2 wins.,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Hunters,7.2,31723,60,TV-MA,Crime,Drama,Mystery,2020,11,8.0,7.9,7.8,453,Nominated for 1 Golden Globe.,Another 8 nominations.,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,72,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
28,iCarly,6.6,33658,25,TV-PG,Comedy,Family,Romance,2007,95,9.2,8.3,8.3,212,Nominated for 7 Primetime Emmys.,Another 13 wins & 54 nominations.,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
29,Jessie,5.9,12970,30,TV-G,Comedy,Family,,2011,98,8.3,8.2,8.0,825,,2 wins & 12 nominations.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
30,Kickin' It,6.4,4778,22,TV-Y7,Action,Comedy,Family,2011,84,9.2,8.7,8.7,2050,,2 wins & 8 nominations.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,86,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
31,Kim's Convenience,8.2,9145,22,TV-14,Comedy,,,2016,64,8.9,8.3,8.2,421,,19 wins & 46 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,89,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Lab Rats: Bionic Island,6.6,4836,22,TV-Y7,Action,Comedy,Drama,2012,98,9.6,9.4,9.3,2149,,1 win & 5 nominations.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
33,Limitless,7.7,62234,42,TV-14,Comedy,Crime,Drama,2015,22,8.8,8.6,8.6,1664,,Nominated for 1 Primetime Emmy.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
34,Lucifer,8.1,237012,42,TV-14,Crime,Drama,Fantasy,2016,93,9.8,9.7,9.6,50,,1 win & 14 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,82,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
35,Master of None,8.3,66706,30,TV-MA,Comedy,Drama,,2015,20,9.5,9.4,9.3,1038,Won 1 Golden Globe.,Another 15 wins & 64 nominations.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
36,Modern Love,8.0,21652,32,TV-MA,Comedy,Romance,,2019,13,8.4,8.4,8.3,643,Nominated for 1 Primetime Emmy.,Another 2 wins & 6 nominations.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
